alg,n,m,p_max,I,mean,std,min,max
FastGreedy,1,10,128,69,6.333333333333333,0,6.333333333333333,6.333333333333333
QThreshold,1,10,128,69,2.8666666666666667,0,2.8666666666666667,2.8666666666666667
Random,1,10,128,69,7.533333333333333,0.0,7.533333333333333,7.533333333333333
RandomizedPmax,1,10,128,69,6.333333333333333,0.0,6.333333333333333,6.333333333333333
FastGreedy,1,10,128,70,1.0,0,1.0,1.0
QThreshold,1,10,128,70,7.0,0,7.0,7.0
Random,1,10,128,70,35.333333333333336,0.0,35.333333333333336,35.333333333333336
RandomizedPmax,1,10,128,70,1.596685082872927,1.7955716106896151,1.0,7.0
FastGreedy,1,10,128,71,1.0,0,1.0,1.0
QThreshold,1,10,128,71,34.666666666666664,0,34.666666666666664,34.666666666666664
Random,1,10,128,71,41.666666666666664,0.0,41.666666666666664,41.666666666666664
RandomizedPmax,1,10,128,71,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,72,5.166666666666667,0,5.166666666666667,5.166666666666667
QThreshold,1,10,128,72,1.0,0,1.0,1.0
Random,1,10,128,72,3.125,0.0,3.125,3.125
RandomizedPmax,1,10,128,72,5.166666666666667,0.0,5.166666666666667,5.166666666666667
FastGreedy,1,10,128,73,1.4,0,1.4,1.4
QThreshold,1,10,128,73,19.4,0,19.4,19.4
Random,1,10,128,73,20.4,0.0,20.4,20.4
RandomizedPmax,1,10,128,73,1.4,0.0,1.4,1.4
FastGreedy,1,10,128,74,1.0,0,1.0,1.0
QThreshold,1,10,128,74,4.6,0,4.6,4.6
Random,1,10,128,74,22.4,0.0,22.4,22.4
RandomizedPmax,1,10,128,74,1.0,0.0,1.0,1.0
FastGreedy,1,10,128,75,1.4411764705882353,0,1.4411764705882353,1.4411764705882353
QThreshold,1,10,128,75,1.0,0,1.0,1.0
Random,1,10,128,75,1.088235294117647,0.0,1.088235294117647,1.088235294117647
RandomizedPmax,1,10,128,75,1.4411764705882353,0.0,1.4411764705882353,1.4411764705882353
FastGreedy,1,10,128,76,1.6470588235294117,0,1.6470588235294117,1.6470588235294117
QThreshold,1,10,128,76,1.7647058823529411,0,1.7647058823529411,1.7647058823529411
Random,1,10,128,76,6.411764705882353,0.0,6.411764705882353,6.411764705882353
